intersection_name,osm_node_id,,,Google Earth Data,,,,OSM Generated Data,,,,UTDF Data,,,,OSM and Google Earth Data Comparison,,,,,UTDF and Google Earth Data Comparison,,,,,OSM and Google Earth Data KPI,,,,,UTDF and Google Earth Data KPI,,,,
,,mvmt_txt_id,,Lanes,x-coordinate,y-coordinate,,Lanes,x-coordinate,y-coordinate,,Lanes,x-coordinate,y-coordinate,,Lane Comparison,,x_coord comparison,y_coord comparison,,Lane Comparison,,x_coord comparison,y_coord comparison,,Lane Comparison,,x_coord comparison,y_coord comparison,,Lane Comparison,,x_coord comparison,y_coord comparison,
SR 95 & 3rd Street,1464400472,NBL,,1,-114.568668,35.1459093,,1,-114.56869,35.14588998,,1,,,,0,,2.19659E-05,1.9316E-05,,0,,,,,1,,,,,1,,,,
SR 95 & 3rd Street,1464400472,NBT,,1,,,,1,,,,2,,,,1,,0,0,,0,,,,,0,,,,,1,,,,
SR 95 & 3rd Street,1464400472,NBR,,0,,,,1,,,,0,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
SR 95 & 3rd Street,1464400472,NBTL,,0,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & 3rd Street,1464400472,NBTR,,1,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & 3rd Street,1464400472,SBL,,1,,,,1,,,,1,,,,1,,0,0,,1,,,,,0,,,,,0,,,,
SR 95 & 3rd Street,1464400472,SBT,,1,,,,1,,,,2,,,,1,,0,0,,0,,,,,0,,,,,1,,,,
SR 95 & 3rd Street,1464400472,SBR,,0,,,,1,,,,0,,,,-1,,0,0,,0,,,,,0,,,,,1,,,,
SR 95 & 3rd Street,1464400472,SBTL,,1,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & 3rd Street,1464400472,SBTR,,0,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & 3rd Street,1464400472,EBL,,1,,,,1,,,,1,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
SR 95 & 3rd Street,1464400472,EBT,,0,,,,1,,,,1,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
SR 95 & 3rd Street,1464400472,EBR,,0,,,,1,,,,0,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
SR 95 & 3rd Street,1464400472,EBTL,,0,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & 3rd Street,1464400472,EBTR,,1,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & 3rd Street,1464400472,WBL,,1,,,,1,,,,1,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
SR 95 & 3rd Street,1464400472,WBT,,0,,,,1,,,,1,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
SR 95 & 3rd Street,1464400472,WBR,,0,,,,1,,,,1,,,,0,,0,0,,-1,,,,,1,,,,,0,,,,
SR 95 & 3rd Street,1464400472,WBTL,,0,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & 3rd Street,1464400472,WBTR,,1,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Hancock,175216725,NBL,,1,-114.598055,35.1074095,,1,-114.59806,35.10738,,1,,,,0,,4.987E-06,2.94995E-05,,0,,,,,1,,,,,1,,,,
SR 95 & Hancock,175216725,NBT,,1,,,,1,,,,2,,,,1,,0,0,,0,,,,,0,,,,,1,,,,
SR 95 & Hancock,175216725,NBR,,0,,,,1,,,,0,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
SR 95 & Hancock,175216725,NBTL,,0,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Hancock,175216725,NBTR,,1,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Hancock,175216725,SBL,,1,,,,1,,,,1,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
SR 95 & Hancock,175216725,SBT,,2,,,,1,,,,2,,,,1,,0,0,,0,,,,,0,,,,,1,,,,
SR 95 & Hancock,175216725,SBR,,1,,,,1,,,,1,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
SR 95 & Hancock,175216725,SBTL,,0,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Hancock,175216725,SBTR,,0,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Hancock,175216725,EBL,,2,,,,1,,,,2,,,,1,,0,0,,0,,,,,0,,,,,1,,,,
SR 95 & Hancock,175216725,EBT,,1,,,,1,,,,1,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
SR 95 & Hancock,175216725,EBR,,1,,,,1,,,,1,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
SR 95 & Hancock,175216725,EBTL,,0,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Hancock,175216725,EBTR,,0,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Hancock,175216725,WBL,,0,,,,1,,,,0,,,,0,,0,0,,1,,,,,1,,,,,0,,,,
SR 95 & Hancock,175216725,WBT,,0,,,,1,,,,2,,,,1,,0,0,,0,,,,,0,,,,,1,,,,
SR 95 & Hancock,175216725,WBR,,0,,,,1,,,,0,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
SR 95 & Hancock,175216725,WBTL,,1,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Hancock,175216725,WBTR,,1,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
Plata & SR 95,175229706,NBL,,1,-114.589271,35.1205913,,1,-114.58923,35.12059001,,1,,,,0,,-4.10127E-05,1.29441E-06,,0,,,,,1,,,,,1,,,,
Plata & SR 95,175229706,NBT,,1,,,,1,,,,1,,,,1,,0,0,,1,,,,,0,,,,,0,,,,
Plata & SR 95,175229706,NBR,,0,,,,1,,,,0,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
Plata & SR 95,175229706,NBTL,,0,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
Plata & SR 95,175229706,NBTR,,1,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
Plata & SR 95,175229706,SBL,,1,,,,1,,,,1,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
Plata & SR 95,175229706,SBT,,1,,,,1,,,,1,,,,1,,0,0,,1,,,,,0,,,,,0,,,,
Plata & SR 95,175229706,SBR,,0,,,,1,,,,0,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
Plata & SR 95,175229706,SBTL,,0,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
Plata & SR 95,175229706,SBTR,,1,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
Plata & SR 95,175229706,EBL,,1,,,,1,,,,1,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
Plata & SR 95,175229706,EBT,,0,,,,1,,,,2,,,,0,,0,0,,-1,,,,,1,,,,,0,,,,
Plata & SR 95,175229706,EBR,,0,,,,1,,,,0,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
Plata & SR 95,175229706,EBTL,,0,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
Plata & SR 95,175229706,EBTR,,1,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
Plata & SR 95,175229706,WBL,,1,,,,1,,,,0,,,,0,,0,0,,1,,,,,1,,,,,0,,,,
Plata & SR 95,175229706,WBT,,0,,,,1,,,,2,,,,0,,0,0,,-1,,,,,1,,,,,0,,,,
Plata & SR 95,175229706,WBR,,0,,,,1,,,,0,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
Plata & SR 95,175229706,WBTL,,0,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
Plata & SR 95,175229706,WBTR,,1,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
Clubhouse & SR 95,175236778,NBL,,1,-114.594824,35.1191548,,1,-114.5948,35.11916001,,0,,,,0,,-2.39866E-05,-5.211E-06,,1,,,,,1,,,,,0,,,,
Clubhouse & SR 95,175236778,NBT,,2,,,,1,,,,0,,,,1,,0,0,,2,,,,,0,,,,,0,,,,
Clubhouse & SR 95,175236778,NBR,,0,,,,1,,,,0,,,,-1,,0,0,,0,,,,,0,,,,,1,,,,
Clubhouse & SR 95,175236778,NBTL,,0,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
Clubhouse & SR 95,175236778,NBTR,,0,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
Clubhouse & SR 95,175236778,SBL,,0,,,,1,,,,1,,,,-1,,0,0,,-1,,,,,0,,,,,0,,,,
Clubhouse & SR 95,175236778,SBT,,2,,,,1,,,,0,,,,1,,0,0,,2,,,,,0,,,,,0,,,,
Clubhouse & SR 95,175236778,SBR,,1,,,,1,,,,1,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
Clubhouse & SR 95,175236778,SBTL,,0,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
Clubhouse & SR 95,175236778,SBTR,,0,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
Clubhouse & SR 95,175236778,EBL,,0,,,,1,,,,1,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
Clubhouse & SR 95,175236778,EBT,,0,,,,1,,,,2,,,,1,,0,0,,0,,,,,0,,,,,1,,,,
Clubhouse & SR 95,175236778,EBR,,0,,,,1,,,,0,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
Clubhouse & SR 95,175236778,EBTL,,1,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
Clubhouse & SR 95,175236778,EBTR,,1,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
Clubhouse & SR 95,175236778,WBL,,0,,,,1,,,,0,,,,-1,,0,0,,0,,,,,0,,,,,1,,,,
Clubhouse & SR 95,175236778,WBT,,0,,,,1,,,,2,,,,-1,,0,0,,-2,,,,,0,,,,,0,,,,
Clubhouse & SR 95,175236778,WBR,,0,,,,1,,,,0,,,,-1,,0,0,,0,,,,,0,,,,,1,,,,
Clubhouse & SR 95,175236778,WBTL,,0,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
Clubhouse & SR 95,175236778,WBTR,,0,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Thunderstruck,175263709,NBL,,1,-114.5980283,35.1055818,,1,-114.59804,35.10557001,,0,,,,0,,1.17381E-05,1.17877E-05,,1,,,,,1,,,,,0,,,,
SR 95 & Thunderstruck,175263709,NBT,,2,,,,1,,,,2,,,,1,,0,0,,0,,,,,0,,,,,1,,,,
SR 95 & Thunderstruck,175263709,NBR,,1,,,,1,,,,1,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
